underlying_symbol,quote_date,root,expiration,strike,option_type,open,high,low,close,trade_volume,bid_size_1545,bid_1545,ask_size_1545,ask_1545,underlying_bid_1545,underlying_ask_1545,bid_size_eod,bid_eod,ask_size_eod,ask_eod,underlying_bid_eod,underlying_ask_eod,vwap,open_interest,delivery_code
^SPX,2004-01-02,SYG,2004-01-17,600.000,c,0.00,0.00,0.00,0.00,0,1,506.50,1,508.50,1107.80,1107.80,1,509.00,1,511.00,1108.49,1108.49,0.00,1,0
^SPX,2004-01-02,SYG,2004-01-17,600.000,p,0.00,0.00,0.00,0.00,0,0,0.00,10,0.05,1107.80,1107.80,0,0.00,10,0.05,1108.49,1108.49,0.00,131,0
^SPX,2004-01-02,SYG,2004-01-17,625.000,c,0.00,0.00,0.00,0.00,0,1,481.50,1,483.50,1107.80,1107.80,1,484.00,1,486.00,1108.49,1108.49,0.00,0,0
^SPX,2004-01-02,SYG,2004-01-17,625.000,p,0.00,0.00,0.00,0.00,0,0,0.00,10,0.05,1107.80,1107.80,0,0.00,10,0.05,1108.49,1108.49,0.00,100,0
^SPX,2004-01-02,SYG,2004-01-17,650.000,c,0.00,0.00,0.00,0.00,0,1,456.50,1,458.50,1107.80,1107.80,1,459.00,1,461.00,1108.49,1108.49,0.00,0,0
^SPX,2004-01-02,SYG,2004-01-17,650.000,p,0.00,0.00,0.00,0.00,0,0,0.00,10,0.05,1107.80,1107.80,0,0.00,10,0.05,1108.49,1108.49,0.00,675,0
^SPX,2004-01-02,SYG,2004-01-17,675.000,c,0.00,0.00,0.00,0.00,0,1,431.50,1,433.50,1107.80,1107.80,1,434.00,1,436.00,1108.49,1108.49,0.00,0,0
^SPX,2004-01-02,SYG,2004-01-17,675.000,p,0.00,0.00,0.00,0.00,0,0,0.00,10,0.05,1107.80,1107.80,0,0.00,10,0.05,1108.49,1108.49,0.00,0,0
^SPX,2004-01-02,SPZ,2004-01-17,700.000,c,0.00,0.00,0.00,0.00,0,1,406.30,1,408.30,1107.80,1107.80,1,409.00,1,411.00,1108.49,1108.49,0.00,0,0
^SPX,2004-01-02,SPZ,2004-01-17,700.000,p,0.00,0.00,0.00,0.00,0,0,0.00,10,0.05,1107.80,1107.80,0,0.00,10,0.05,1108.49,1108.49,0.00,2092,0
^SPX,2004-01-02,SPZ,2004-01-17,725.000,c,0.00,0.00,0.00,0.00,0,1,381.30,1,383.30,1107.80,1107.80,1,383.80,1,385.80,1108.49,1108.49,0.00,0,0
^SPX,2004-01-02,SPZ,2004-01-17,725.000,p,0.00,0.00,0.00,0.00,0,0,0.00,10,0.05,1107.80,1107.80,0,0.00,10,0.05,1108.49,1108.49,0.00,250,0
^SPX,2004-01-02,SPZ,2004-01-17,750.000,c,0.00,0.00,0.00,0.00,0,1,356.30,1,358.30,1107.80,1107.80,1,359.10,1,361.10,1108.49,1108.49,0.00,0,0
^SPX,2004-01-02,SPZ,2004-01-17,750.000,p,0.00,0.00,0.00,0.00,0,0,0.00,10,0.05,1107.80,1107.80,0,0.00,10,0.05,1108.49,1108.49,0.00,8275,0
^SPX,2004-01-02,SPZ,2004-01-17,775.000,c,0.00,0.00,0.00,0.00,0,1,331.60,1,333.60,1107.80,1107.80,1,333.80,1,335.80,1108.49,1108.49,0.00,10,0
^SPX,2004-01-02,SPZ,2004-01-17,775.000,p,0.00,0.00,0.00,0.00,0,0,0.00,10,0.05,1107.80,1107.80,0,0.00,10,0.05,1108.49,1108.49,0.00,700,0
^SPX,2004-01-02,SPX,2004-01-17,800.000,c,0.00,0.00,0.00,0.00,0,1,306.30,1,308.30,1107.80,1107.80,1,309.10,1,311.10,1108.49,1108.49,0.00,1,0
^SPX,2004-01-02,SPX,2004-01-17,800.000,p,0.00,0.00,0.00,0.00,0,0,0.00,1000,0.05,1107.80,1107.80,0,0.00,1000,0.05,1108.49,1108.49,0.00,16063,0
^SPX,2004-01-02,SPX,2004-01-17,825.000,c,0.00,0.00,0.00,0.00,0,1,281.30,1,283.30,1107.80,1107.80,1,284.10,1,286.10,1108.49,1108.49,0.00,101,0
^SPX,2004-01-02,SPX,2004-01-17,825.000,p,0.00,0.00,0.00,0.00,0,0,0.00,10,0.10,1107.80,1107.80,0,0.00,10,0.10,1108.49,1108.49,0.00,1872,0
^SPX,2004-01-02,SPX,2004-01-17,850.000,c,0.00,0.00,0.00,0.00,0,1,256.40,1,258.40,1107.80,1107.80,1,258.90,1,260.90,1108.49,1108.49,0.00,2,0
^SPX,2004-01-02,SPX,2004-01-17,850.000,p,0.10,0.10,0.10,0.10,50,10,0.05,10,0.15,1107.80,1107.80,10,0.05,10,0.15,1108.49,1108.49,0.10,3495,0
^SPX,2004-01-02,SPX,2004-01-17,875.000,c,0.00,0.00,0.00,0.00,0,1,231.40,1,233.40,1107.80,1107.80,1,234.10,1,236.10,1108.49,1108.49,0.00,11,0
^SPX,2004-01-02,SPX,2004-01-17,875.000,p,0.10,0.10,0.10,0.10,25,15,0.05,10,0.20,1107.80,1107.80,3,0.10,10,0.20,1108.49,1108.49,0.10,4528,0
^SPX,2004-01-02,SXB,2004-01-17,900.000,c,214.50,214.50,214.50,214.50,5,1,206.50,1,208.50,1107.80,1107.80,1,209.00,1,211.00,1108.49,1108.49,214.50,115,0
^SPX,2004-01-02,SXB,2004-01-17,900.000,p,0.10,0.15,0.10,0.15,1283,2,0.10,10,0.20,1107.80,1107.80,2,0.10,10,0.20,1108.49,1108.49,0.11,14507,0
^SPX,2004-01-02,SXB,2004-01-17,925.000,c,192.50,192.50,192.50,192.50,200,1,181.50,1,183.50,1107.80,1107.80,1,184.30,1,186.30,1108.49,1108.49,192.50,1070,0
^SPX,2004-01-02,SXB,2004-01-17,925.000,p,0.25,0.30,0.25,0.25,1066,300,0.15,50,0.50,1107.80,1107.80,300,0.15,50,0.50,1108.49,1108.49,0.26,10832,0
^SPX,2004-01-02,SXB,2004-01-17,935.000,c,0.00,0.00,0.00,0.00,0,1,171.60,1,173.60,1107.80,1107.80,1,174.30,1,176.30,1108.49,1108.49,0.00,22,0
^SPX,2004-01-02,SXB,2004-01-17,935.000,p,0.00,0.00,0.00,0.00,0,10,0.05,50,0.50,1107.80,1107.80,10,0.05,50,0.50,1108.49,1108.49,0.00,1274,0
^SPX,2004-01-02,SXB,2004-01-17,950.000,c,169.00,169.00,164.60,164.60,88,1,156.70,1,158.70,1107.80,1107.80,1,159.40,1,161.40,1108.49,1108.49,166.98,2425,0
^SPX,2004-01-02,SXB,2004-01-17,950.000,p,0.45,0.45,0.35,0.35,294,60,0.35,50,0.55,1107.80,1107.80,60,0.35,50,0.55,1108.49,1108.49,0.40,24608,0
^SPX,2004-01-02,SXB,2004-01-17,960.000,c,0.00,0.00,0.00,0.00,0,1,146.80,1,148.80,1107.80,1107.80,1,149.50,1,151.50,1108.49,1108.49,0.00,0,0
^SPX,2004-01-02,SXB,2004-01-17,960.000,p,0.00,0.00,0.00,0.00,0,50,0.15,50,0.65,1107.80,1107.80,50,0.15,50,0.65,1108.49,1108.49,0.00,21939,0
^SPX,2004-01-02,SXB,2004-01-17,975.000,c,0.00,0.00,0.00,0.00,0,1,132.10,1,134.10,1107.80,1107.80,1,134.70,1,136.70,1108.49,1108.49,0.00,224,0
^SPX,2004-01-02,SXB,2004-01-17,975.000,p,0.60,0.65,0.50,0.60,4219,57,0.55,56,0.80,1107.80,1107.80,57,0.55,10,0.65,1108.49,1108.49,0.58,40845,0
^SPX,2004-01-02,SXB,2004-01-17,980.000,c,0.00,0.00,0.00,0.00,0,1,127.10,1,129.10,1107.80,1107.80,1,129.80,1,131.80,1108.49,1108.49,0.00,0,0
^SPX,2004-01-02,SXB,2004-01-17,980.000,p,0.70,0.70,0.70,0.70,5,50,0.50,50,0.90,1107.80,1107.80,50,0.50,50,0.85,1108.49,1108.49,0.70,23663,0
