Date,1 mo,2 mo,3 mo,6 mo,1 yr,2 yr,3 yr,5 yr,7 yr,10 yr,20 yr,30 yr
07/01/19,2.17,2.16,2.21,2.10,1.94,1.78,1.74,1.79,1.90,2.03,2.34,2.55
07/02/19,2.21,2.17,2.20,2.09,1.91,1.77,1.71,1.75,1.85,1.98,2.29,2.51
07/03/19,2.25,2.20,2.21,2.08,1.91,1.77,1.71,1.74,1.83,1.96,2.25,2.47
07/05/19,2.26,2.22,2.23,2.14,1.98,1.87,1.82,1.84,1.93,2.04,2.34,2.54
07/08/19,2.23,2.24,2.26,2.14,1.99,1.88,1.84,1.86,1.94,2.05,2.32,2.53
07/09/19,2.22,2.24,2.26,2.15,2.00,1.92,1.88,1.88,1.96,2.07,2.34,2.54
07/10/19,2.18,2.18,2.20,2.07,1.93,1.82,1.79,1.82,1.93,2.07,2.36,2.57
07/11/19,2.17,2.17,2.17,2.08,1.97,1.85,1.84,1.88,1.99,2.13,2.42,2.65
07/12/19,2.16,2.18,2.14,2.07,1.96,1.84,1.81,1.86,1.98,2.12,2.42,2.64
07/15/19,2.17,2.19,2.16,2.06,1.95,1.83,1.80,1.84,1.96,2.09,2.39,2.61
07/16/19,2.16,2.17,2.15,2.06,2.00,1.87,1.84,1.88,2.00,2.13,2.42,2.63
07/17/19,2.13,2.14,2.14,2.04,1.95,1.83,1.80,1.83,1.94,2.06,2.35,2.57
07/18/19,2.11,2.12,2.05,2.01,1.90,1.77,1.74,1.78,1.89,2.04,2.34,2.56
07/19/19,2.11,2.16,2.06,2.03,1.94,1.80,1.77,1.80,1.91,2.05,2.35,2.57
07/22/19,2.13,2.16,2.09,2.08,1.95,1.80,1.77,1.80,1.92,2.05,2.36,2.58
07/23/19,2.12,2.15,2.06,2.09,1.97,1.83,1.79,1.83,1.94,2.08,2.38,2.61
07/24/19,2.10,2.14,2.10,2.08,1.98,1.83,1.79,1.82,1.93,2.05,2.36,2.58
07/25/19,2.16,2.17,2.10,2.08,1.99,1.86,1.83,1.85,1.95,2.08,2.38,2.60
07/26/19,2.13,2.15,2.12,2.10,2.00,1.86,1.83,1.85,1.95,2.08,2.38,2.59
07/29/19,2.12,2.16,2.12,2.10,1.98,1.85,1.81,1.84,1.93,2.06,2.37,2.59
07/30/19,2.07,2.10,2.08,2.07,1.97,1.85,1.82,1.84,1.93,2.06,2.36,2.58
07/31/19,2.01,2.07,2.08,2.10,2.00,1.89,1.84,1.84,1.92,2.02,2.31,2.53
08/01/19,2.11,2.14,2.07,2.04,1.88,1.73,1.67,1.68,1.77,1.90,2.21,2.44
08/02/19,2.11,2.12,2.06,2.02,1.85,1.72,1.67,1.66,1.75,1.86,2.16,2.39
08/05/19,2.07,2.08,2.05,1.99,1.78,1.59,1.55,1.55,1.63,1.75,2.07,2.30
08/06/19,2.05,2.08,2.05,2.00,1.80,1.60,1.54,1.53,1.62,1.73,2.03,2.25
08/07/19,2.02,2.04,2.02,1.95,1.75,1.59,1.51,1.52,1.60,1.71,2.01,2.22
08/08/19,2.09,2.07,2.02,1.96,1.79,1.62,1.54,1.54,1.62,1.72,2.02,2.25
08/09/19,2.05,2.06,2.00,1.95,1.78,1.63,1.58,1.57,1.65,1.74,2.03,2.26
08/12/19,2.09,2.06,2.00,1.94,1.75,1.58,1.51,1.49,1.56,1.65,1.92,2.14
08/13/19,2.05,2.04,2.00,1.96,1.86,1.66,1.60,1.57,1.62,1.68,1.94,2.15
08/14/19,1.98,1.98,1.96,1.92,1.79,1.58,1.53,1.51,1.55,1.59,1.84,2.03
08/15/19,2.08,1.97,1.91,1.86,1.72,1.48,1.44,1.42,1.47,1.52,1.80,1.98
08/16/19,2.05,1.95,1.87,1.85,1.71,1.48,1.44,1.42,1.49,1.55,1.82,2.01
08/19/19,2.06,1.96,1.94,1.90,1.75,1.53,1.49,1.47,1.54,1.60,1.88,2.08
08/20/19,2.05,1.96,1.94,1.89,1.72,1.50,1.44,1.42,1.49,1.55,1.84,2.04
08/21/19,2.03,1.98,1.97,1.90,1.77,1.56,1.50,1.47,1.54,1.59,1.87,2.07
08/22/19,2.10,2.02,2.00,1.91,1.79,1.61,1.53,1.50,1.56,1.62,1.90,2.11
08/23/19,2.07,2.02,1.97,1.87,1.73,1.51,1.43,1.40,1.46,1.52,1.82,2.02
08/26/19,2.09,2.03,2.01,1.90,1.75,1.54,1.47,1.43,1.49,1.54,1.84,2.04
08/27/19,2.07,2.03,1.98,1.94,1.77,1.53,1.43,1.40,1.44,1.49,1.77,1.97
08/28/19,2.07,2.04,1.99,1.89,1.74,1.50,1.42,1.37,1.42,1.47,1.76,1.94
08/29/19,2.10,2.03,1.99,1.89,1.75,1.53,1.44,1.40,1.46,1.50,1.78,1.97
08/30/19,2.10,2.04,1.99,1.89,1.76,1.50,1.42,1.39,1.45,1.50,1.78,1.96
