Date, Open, High, Low, Close
09/28/18, 2910.03, 2920.53, 2907.50, 2913.98
09/27/18, 2911.65, 2927.22, 2909.27, 2914.00
09/26/18, 2916.98, 2931.15, 2903.28, 2905.97
09/25/18, 2921.75, 2923.95, 2913.70, 2915.56
09/24/18, 2921.83, 2923.79, 2912.63, 2919.37
09/21/18, 2936.76, 2940.91, 2927.11, 2929.67
09/20/18, 2919.73, 2934.80, 2919.73, 2930.75
09/19/18, 2906.60, 2912.36, 2903.82, 2907.95
09/18/18, 2890.74, 2911.17, 2890.43, 2904.31
09/17/18, 2903.83, 2904.65, 2886.16, 2888.80
09/14/18, 2906.38, 2908.30, 2895.77, 2904.98
09/13/18, 2896.85, 2906.76, 2896.39, 2904.18
09/12/18, 2888.29, 2894.65, 2879.20, 2888.92
09/11/18, 2871.57, 2892.52, 2866.78, 2887.89
09/10/18, 2881.39, 2886.93, 2875.94, 2877.13
09/07/18, 2868.26, 2883.81, 2864.12, 2871.68
09/06/18, 2888.64, 2892.05, 2867.29, 2878.05
09/05/18, 2891.59, 2894.21, 2876.92, 2888.60
09/04/18, 2896.96, 2900.18, 2885.13, 2896.72
08/31/18, 2898.37, 2906.32, 2891.73, 2901.52
08/30/18, 2908.94, 2912.46, 2895.22, 2901.13
08/29/18, 2900.62, 2916.50, 2898.40, 2914.04
08/28/18, 2901.45, 2903.77, 2893.50, 2897.52
08/27/18, 2884.69, 2898.25, 2884.69, 2896.74
08/24/18, 2862.35, 2876.16, 2862.35, 2874.69
08/23/18, 2860.29, 2868.78, 2854.03, 2856.98
08/22/18, 2860.99, 2867.54, 2856.05, 2861.82
08/21/18, 2861.51, 2873.23, 2861.32, 2862.96
08/20/18, 2853.93, 2859.76, 2850.62, 2857.05
08/17/18, 2838.32, 2855.63, 2833.73, 2850.13
08/16/18, 2831.44, 2850.49, 2831.44, 2840.69
08/15/18, 2827.95, 2827.95, 2802.49, 2818.37
08/14/18, 2827.88, 2843.11, 2826.58, 2839.96
08/13/18, 2835.46, 2843.40, 2819.88, 2821.93
08/10/18, 2839.64, 2842.20, 2825.81, 2833.28
08/09/18, 2857.19, 2862.48, 2851.98, 2853.58
08/08/18, 2856.79, 2862.44, 2853.09, 2857.70
08/07/18, 2855.92, 2863.43, 2855.92, 2858.45
08/06/18, 2840.29, 2853.29, 2835.98, 2850.40
08/03/18, 2829.62, 2840.38, 2827.37, 2840.35
08/02/18, 2800.48, 2829.91, 2796.34, 2827.22
08/01/18, 2821.17, 2825.83, 2805.85, 2813.36
