Date, Open, High, Low, Close
04/30/19, 2937.14, 2948.22, 2924.11, 2945.83
04/29/19, 2940.58, 2949.52, 2939.35, 2943.03
04/26/19, 2925.81, 2939.88, 2917.56, 2939.88
04/25/19, 2928.99, 2933.10, 2912.84, 2926.17
04/24/19, 2934.00, 2936.83, 2926.05, 2927.25
04/23/19, 2909.99, 2936.31, 2908.53, 2933.68
04/22/19, 2898.78, 2909.51, 2896.35, 2907.97
04/18/19, 2904.81, 2908.40, 2891.90, 2905.03
04/17/19, 2916.04, 2918.00, 2895.45, 2900.45
04/16/19, 2912.26, 2916.06, 2900.71, 2907.06
04/15/19, 2908.32, 2909.60, 2896.48, 2905.58
04/12/19, 2900.86, 2910.54, 2898.37, 2907.41
04/11/19, 2891.92, 2893.42, 2881.99, 2888.32
04/10/19, 2881.37, 2889.71, 2879.13, 2888.21
04/09/19, 2886.58, 2886.88, 2873.33, 2878.20
04/08/19, 2888.46, 2895.95, 2880.78, 2895.77
04/05/19, 2884.16, 2893.24, 2882.99, 2892.74
04/04/19, 2873.99, 2881.28, 2867.14, 2879.39
04/03/19, 2876.09, 2885.25, 2865.17, 2873.40
04/02/19, 2868.24, 2872.90, 2858.75, 2867.24
04/01/19, 2848.63, 2869.40, 2848.63, 2867.19
03/29/19, 2828.27, 2836.03, 2819.23, 2834.40
03/28/19, 2809.40, 2819.71, 2798.77, 2815.44
03/27/19, 2819.72, 2825.56, 2787.72, 2805.37
03/26/19, 2812.66, 2829.87, 2803.99, 2818.46
03/25/19, 2796.01, 2809.79, 2785.02, 2798.36
03/22/19, 2844.52, 2846.16, 2800.47, 2800.71
03/21/19, 2819.72, 2860.31, 2817.38, 2854.88
03/20/19, 2831.34, 2843.54, 2812.43, 2824.23
03/19/19, 2840.76, 2852.42, 2823.27, 2832.57
03/18/19, 2822.61, 2835.41, 2821.99, 2832.94
03/15/19, 2810.79, 2830.73, 2810.79, 2822.48
03/14/19, 2810.38, 2815.00, 2803.46, 2808.48
03/13/19, 2799.78, 2821.24, 2799.78, 2810.92
03/12/19, 2787.34, 2798.32, 2786.73, 2791.52
03/11/19, 2747.61, 2784.00, 2747.61, 2783.30
03/08/19, 2730.79, 2744.13, 2722.27, 2743.07
03/07/19, 2766.53, 2767.25, 2739.09, 2748.93
03/06/19, 2790.27, 2790.27, 2768.69, 2771.45
03/05/19, 2794.41, 2796.44, 2782.97, 2789.65
03/04/19, 2814.37, 2816.88, 2767.66, 2792.81
03/01/19, 2798.22, 2808.02, 2787.38, 2803.69
02/28/19, 2788.11, 2793.73, 2782.51, 2784.49
02/27/19, 2787.50, 2795.76, 2775.13, 2792.38
02/26/19, 2792.36, 2803.12, 2789.47, 2793.90
02/25/19, 2804.35, 2813.49, 2794.99, 2796.11
02/22/19, 2780.67, 2794.20, 2779.11, 2792.67
02/21/19, 2780.24, 2781.58, 2764.55, 2774.88
02/20/19, 2779.05, 2789.88, 2774.06, 2784.70
02/19/19, 2769.28, 2787.33, 2767.29, 2779.76
02/15/19, 2760.24, 2775.66, 2760.24, 2775.60
02/14/19, 2743.50, 2757.90, 2731.23, 2745.73
02/13/19, 2750.30, 2761.85, 2748.63, 2753.03
02/12/19, 2722.61, 2748.19, 2722.61, 2744.73
02/11/19, 2712.40, 2718.05, 2703.79, 2709.80
02/08/19, 2692.36, 2708.07, 2681.83, 2707.88
02/07/19, 2717.53, 2719.32, 2687.26, 2706.05
02/06/19, 2735.05, 2738.08, 2724.15, 2731.61
02/05/19, 2728.34, 2738.98, 2724.03, 2737.70
02/04/19, 2706.49, 2724.99, 2698.75, 2724.87
02/01/19, 2702.32, 2716.66, 2696.88, 2706.53
01/31/19, 2685.49, 2708.95, 2678.65, 2704.10
01/30/19, 2653.62, 2690.44, 2648.34, 2681.05
01/29/19, 2644.89, 2650.93, 2631.05, 2640.00
01/28/19, 2644.97, 2644.97, 2624.06, 2643.85
