Date, Open, High, Low, Close
08/30/19, 2937.09, 2940.43, 2913.32, 2926.46
08/29/19, 2910.37, 2930.50, 2905.67, 2924.58
08/28/19, 2861.28, 2890.03, 2853.05, 2887.94
08/27/19, 2893.14, 2898.79, 2860.59, 2869.16
08/26/19, 2866.70, 2879.27, 2856.00, 2878.38
08/23/19, 2911.07, 2927.01, 2834.97, 2847.11
08/22/19, 2930.94, 2939.08, 2904.51, 2922.95
08/21/19, 2922.04, 2928.73, 2917.91, 2924.43
08/20/19, 2919.01, 2923.63, 2899.60, 2900.51
08/19/19, 2913.48, 2931.00, 2913.48, 2923.65
08/16/19, 2864.74, 2893.63, 2864.74, 2888.68
08/15/19, 2846.20, 2856.67, 2825.51, 2847.60
08/14/19, 2894.15, 2894.15, 2839.64, 2840.60
08/13/19, 2880.72, 2943.31, 2877.05, 2926.32
08/12/19, 2907.07, 2907.58, 2873.14, 2883.75
08/09/19, 2930.51, 2935.75, 2900.15, 2918.65
08/08/19, 2896.21, 2938.72, 2894.47, 2938.09
08/07/19, 2858.65, 2892.17, 2825.71, 2883.98
08/06/19, 2861.18, 2884.40, 2847.42, 2881.77
08/05/19, 2898.07, 2898.07, 2822.12, 2844.74
08/02/19, 2943.90, 2945.50, 2914.11, 2932.05
08/01/19, 2980.32, 3013.59, 2945.23, 2953.56
07/31/19, 3016.22, 3017.40, 2958.08, 2980.38
07/30/19, 3007.66, 3017.19, 3000.94, 3013.18
07/29/19, 3024.47, 3025.61, 3014.30, 3020.97
07/26/19, 3013.25, 3027.98, 3012.59, 3025.86
07/25/19, 3016.26, 3016.31, 2997.24, 3003.67
07/24/19, 2998.77, 3019.59, 2996.82, 3019.56
07/23/19, 2994.74, 3005.90, 2988.56, 3005.47
07/22/19, 2981.93, 2990.71, 2976.65, 2985.03
07/19/19, 3004.26, 3006.02, 2975.86, 2976.61
07/18/19, 2978.87, 2998.28, 2973.09, 2995.11
07/17/19, 3005.10, 3005.26, 2984.25, 2984.42
07/16/19, 3012.13, 3015.02, 3001.15, 3004.04
07/15/19, 3017.80, 3017.80, 3008.77, 3014.30
07/12/19, 3003.36, 3013.92, 3001.87, 3013.77
07/11/19, 2999.62, 3002.33, 2988.80, 2999.91
07/10/19, 2989.30, 3002.98, 2984.62, 2993.07
07/09/19, 2965.52, 2981.90, 2963.44, 2979.63
07/08/19, 2979.77, 2980.76, 2970.09, 2975.95
07/05/19, 2984.25, 2994.03, 2967.97, 2990.41
07/03/19, 2978.08, 2995.84, 2977.96, 2995.82
07/02/19, 2964.66, 2973.21, 2955.92, 2973.01
07/01/19, 2971.41, 2977.93, 2952.22, 2964.33
