QuoteDate,expiration,strike,OptionType,bid_eod,ask_eod,underlying_bid_eod,underlying_ask_eod
2007-11-05,2007-11-17,800.0,c,698.8,702.3,1502.17,1502.17
2007-11-05,2007-11-17,800.0,p,0.0,0.05,1502.17,1502.17
2007-11-05,2007-12-22,800.0,c,699.6,703.5,1502.17,1502.17
2007-11-05,2007-12-22,800.0,p,0.0,0.1,1502.17,1502.17
2007-11-05,2007-12-22,850.0,c,650.0,653.8,1502.17,1502.17
2007-11-05,2007-12-22,850.0,p,0.0,1.2,1502.17,1502.17
2007-11-05,2008-03-22,800.0,c,701.7,705.6,1502.17,1502.17
2007-11-05,2008-03-22,800.0,p,0.0,1.6,1502.17,1502.17
2007-11-05,2008-06-21,800.0,c,704.5,708.4,1502.17,1502.17
2007-11-05,2008-06-21,800.0,p,1.0,2.8,1502.17,1502.17
2007-11-05,2008-06-21,850.0,c,656.8,660.8,1502.17,1502.17
2007-11-05,2008-06-21,850.0,p,2.0,3.8,1502.17,1502.17
2004-08-04,2004-08-21,800.0,c,295.6,297.6,1098.63,1098.63
2004-08-04,2004-08-21,800.0,p,0.0,0.5,1098.63,1098.63
2004-08-04,2004-08-21,825.0,c,270.6,272.6,1098.63,1098.63
2004-08-04,2004-08-21,825.0,p,0.0,0.05,1098.63,1098.63
2004-08-04,2004-08-21,850.0,c,245.6,247.6,1098.63,1098.63
2004-08-04,2004-08-21,850.0,p,0.0,0.25,1098.63,1098.63
2004-08-04,2004-08-21,875.0,c,220.7,222.7,1098.63,1098.63
2004-08-04,2004-08-21,875.0,p,0.05,0.2,1098.63,1098.63
2004-08-04,2004-09-18,800.0,c,295.2,297.2,1098.63,1098.63
2004-08-04,2004-09-18,800.0,p,0.1,0.45,1098.63,1098.63
2004-08-04,2004-09-18,850.0,c,245.5,247.5,1098.63,1098.63
2004-08-04,2004-09-18,850.0,p,0.2,0.5,1098.63,1098.63
2004-08-04,2004-09-18,875.0,c,220.8,222.8,1098.63,1098.63
2004-08-04,2004-09-18,875.0,p,0.2,0.7,1098.63,1098.63
2004-08-04,2004-10-16,800.0,c,295.2,297.2,1098.63,1098.63
2004-08-04,2004-10-16,800.0,p,0.4,0.7,1098.63,1098.63
